P2527248,1,P2527248,1
P2527208,1,P2527208,1
P2344296,1,P2344296,1
P2345552,1,P2345552,1
P2389268,1,P2389268,1
P2344576,1,P2344576,1
P2235808,1,P2235808,1
P2344476,1,P2344476,1
P2505568,1,P2505568,1
P2242298,1,P2242298,1
P2234138,1,P2234138,1
P2527198,1,P2527198,1
P2505608,1,P2505608,1
P2236568,1,P2236568,1
P2385652,1,P2385652,1
P2376150,1,P2376150,1
P2527188,1,P2527188,1
P2232148,1,P2232148,1
P2240518,1,P2240518,1
P2345522,1,P2345522,1
P2231568,1,P2231568,1
P2375990,1,P2375990,1
P2238838,1,P2238838,1
P2435216,1,P2435216,1
P2344176,1,P2344176,1
P2234778,1,P2234778,1
P2345352,1,P2345352,1
P2231648,1,P2231648,1
P2527238,1,P2527238,1
P2232108,1,P2232108,1
P2473398,1,P2473398,1
P2232688,1,P2232688,1
P2505678,1,P2505678,1
