C:/intel\Perl\Programs\datalog\KDCTNLPBH_7721\1A,,,,,
2L651886C0303,F704716B_144_+00_-10,F704716B_144_+01_-10,,,FALSE
2L705535B1020,F7047140_689_-06_-09,F7047140_689_-02_-10,,,FALSE
2L705535B0706,F7047140_695_+03_-07,F7047140_695_-08_-08,,,FALSE
2L705535B0989,F7047140_691_-05_-01,F7047140_691_-07_-01,,,FALSE
2L705535B0745,F7047140_708_+06_-09,F7047140_708_+05_-09,,,FALSE
2L705535B0936,F7047140_683_+07_+06,F7047140_683_+08_+06,,,FALSE
2L705535B0695,F7047140_702_-01_+07,F7047140_702_-02_+07,,,FALSE
2L705535B0900,F7047140_705_-09_+06,F7047140_705_-03_+06,,,FALSE
2L705535B0060,F7047140_691_+10_+04,F7047140_691_+10_+03,,,FALSE
2L705535B1260,F7047140_693_-11_+01,F7047140_693_-12_+01,,,FALSE
2L705535B0393,F7047140_702_+09_-06,F7047140_702_+08_-07,,,FALSE
2L705535B0244,F7047140_702_-05_+00,F7047140_702_-04_+00,,,FALSE
2L705535B1237,F7047140_689_+07_+04,F7047140_689_+08_+04,,,FALSE
2L705535B0847,F7047140_683_+06_-08,F7047140_683_+03_-09,,,FALSE
2L705535B0859,F7047140_683_-05_-07,F7047140_683_-02_-08,,,FALSE
2L705535B0304,F7047140_702_-05_+02,F7047140_702_-04_+02,,,FALSE
2L705535B0757,F7047140_693_-04_+05,F7047140_693_-05_+05,,,FALSE
2L705535B0750,F7047140_708_-11_+03,F7047140_708_-12_+02,,,FALSE
2L705535B0701,F7047140_695_-01_-09,F7047140_695_-03_-09,,,FALSE
2L705535B0810,F7047140_683_+02_-09,F7047140_683_+01_-09,,,FALSE
2L705535B1118,F7047140_685_-05_-09,F7047140_685_-04_-09,,,FALSE
2L705535B0848,F7047140_683_-03_-03,F7047140_683_-04_-03,,,FALSE
2L705535B0785,F7047140_693_+00_+03,F7047140_693_-01_+03,,,FALSE
2L705535B0804,F7047140_708_-03_+08,F7047140_708_-01_+08,,,FALSE
2L705535B0744,F7047140_708_+12_+02,F7047140_708_+11_+01,,,FALSE
2L705535B0696,F7047140_708_-09_+05,F7047140_708_-10_+05,,,FALSE
2L705535B1000,F7047140_691_-03_-03,F7047140_691_-05_-03,,,FALSE
2L705535B1177,F7047140_693_+04_-07,F7047140_693_+03_-07,,,FALSE
2L705535B1236,F7047140_689_+01_+06,F7047140_689_+02_+06,,,FALSE
2L705535B0310,F7047140_702_-12_+02,F7047140_702_-11_+02,,,FALSE
2L705535B0726,F7047140_702_+02_+05,F7047140_702_+01_+05,,,FALSE
2L705535B1197,F7047140_693_-09_-01,F7047140_693_-10_-01,,,FALSE
