PATTERN,COUNT,TESTNAME
G1647613P2222768_011414_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_ARB_SYM_AGENT_NO_OWNER,1,XSHIP_BF200_0114_MINMIN_2002800_0139
G1647854P2246828_011414_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,10,XSHIP_BF200_0114_MINMIN_2002800_0139
G1647999P2246828_011515_PL01DY_FTAXX_UX1XM1X0XXXFXXXXX_BAV_HALT_STPCLK_INIT,2,XSHIP_BF200_0116_MINMIN_2003200_0137
G1649618P2251338_011717_PL01DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_REG_3,1,XSHIP_BF200_0117_MINMIN_2003400_0125
G1649680P2251068_011717_PL01DY_FTAXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_EOI,4,XSHIP_BF200_0117_MINMIN_2003400_0125
G1649680P2251068_011717_PL01DY_FTBXX_UX1XM1X2XXXFXXXXX_BAV_APIC_INIT_EOI,1,XSHIP_BF200_0117_MINMIN_2003400_0125
