PATTERN,COUNT,TESTNAME
G1689731P2502258_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_16_MT0,1,BF_014444_MINMIN_642800_1039
G1693076P2756242_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_CVTPS2PD_PSCB2_23,1,BF_014444_MINMIN_683000_0927
G1693366P2480158_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOB_EMON_BASIC_08,1,BF_014444_MINMIN_683000_0927
G1693424P2245188_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MEU_PMH_FT_PAGE_ATTRB_LG,1,BF_014444_MINMIN_642800_1039
G1693427P2801756_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_642800_1039
G1693427P2801756_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_683000_0927
G1693427P2801756_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_DATA,2,BF_014444_MINMIN_733200_0815
G1694276P2570872_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC,2,BF_014444_MINMIN_642800_1039
G1694831P2246468_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MIXED4,1,BF_014444_MINMIN_733200_1037
G1710547P2259688_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SPEEDPATH_PIPEX3,1,BF_014444_MINMIN_683000_0927
