P2252238,1,P2252238,1
P2498278,1,P2498278,1
P2397184,1,P2397184,1
P2430694,1,P2430694,1
P2468234,1,P2468234,1
P2469074,1,P2469074,1
P2437046,1,P2437046,1
P2449470,1,P2449470,1
P2244218,1,P2244218,1
P2433896,1,P2433896,1
P2259788,1,P2259788,1
P2396254,1,P2396254,1
P2260398,1,P2260398,1
P2244498,1,P2244498,1
P2452240,1,P2452240,1
P2213088,1,P2213088,1
P2430064,1,P2430064,1
P2329468,1,P2329468,1
P2478698,1,P2478698,1
P2324618,1,P2324618,1
P2479918,1,P2479918,1
P2422612,1,P2422612,1
P2405000,1,P2405000,1
P2396844,1,P2396844,1
P2262938,1,P2262938,1
P2324648,1,P2324648,1
P2808864,1,P2808864,1
P2259318,1,P2259318,1
P2253138,1,P2253138,1
P2244258,1,P2244258,1
P2480718,1,P2480718,1
P2430644,1,P2430644,1
P2452130,1,P2452130,1
P2247028,1,P2247028,1
P2246748,1,P2246748,1
P2436926,1,P2436926,1
P2259308,1,P2259308,1
P2437666,1,P2437666,1
P2324588,1,P2324588,1
P2474688,1,P2474688,1
P2245738,1,P2245738,1
P2214978,1,P2214978,1
P2245528,1,P2245528,1
P2447730,1,P2447730,1
P2430234,1,P2430234,1
P2463554,1,P2463554,1
P2474678,1,P2474678,1
P2467994,1,P2467994,1
P2252318,1,P2252318,1
P2469754,1,P2469754,1
P2430614,1,P2430614,1
P2445490,1,P2445490,1
P2415862,1,P2415862,1
P2431264,1,P2431264,1
P2431094,1,P2431094,1
P2429384,1,P2429384,1
P2440776,1,P2440776,1
P2466114,1,P2466114,1
P2261488,1,P2261488,1
P2243878,1,P2243878,1
P2325008,1,P2325008,1
P2437696,1,P2437696,1
P2247378,1,P2247378,1
P2324218,1,P2324218,1
P2478778,1,P2478778,1
P2400510,1,P2400510,1
P2445230,1,P2445230,1
P2245118,1,P2245118,1
P2438186,1,P2438186,1
P2447550,1,P2447550,1
P2247128,1,P2247128,1
P2249128,1,P2249128,1
P2324768,1,P2324768,1
P2244268,1,P2244268,1
P2447830,1,P2447830,1
P2242858,1,P2242858,1
P2448690,1,P2448690,1
P2481378,1,P2481378,1
P2245258,1,P2245258,1
P2471908,1,P2471908,1
P2437776,1,P2437776,1
P2243368,1,P2243368,1
P2418572,1,P2418572,1
P2430574,1,P2430574,1
P2452530,1,P2452530,1
P2252858,1,P2252858,1
P2431124,1,P2431124,1
P2429974,1,P2429974,1
P2325278,1,P2325278,1
P2430754,1,P2430754,1
P2244288,1,P2244288,1
P2447700,1,P2447700,1
P2570972,1,P2570972,1
P2479518,1,P2479518,1
P2247628,1,P2247628,1
P2437016,1,P2437016,1
P2244278,1,P2244278,1
P2437586,1,P2437586,1
P2509368,1,P2509368,1
P2422632,1,P2422632,1
P2411352,1,P2411352,1
P2496118,1,P2496118,1
P2246318,1,P2246318,1
P2447670,1,P2447670,1
P2255418,1,P2255418,1
P2244928,1,P2244928,1
P2244478,1,P2244478,1
P2329818,1,P2329818,1
P2396194,1,P2396194,1
P2487828,1,P2487828,1
P2254118,1,P2254118,1
P2501308,1,P2501308,1
P2247038,1,P2247038,1
P2329398,1,P2329398,1
P2448920,1,P2448920,1
P2396144,1,P2396144,1
P2448810,1,P2448810,1
P2445270,1,P2445270,1
P2430604,1,P2430604,1
P2466364,1,P2466364,1
P2217688,1,P2217688,1
P2324128,1,P2324128,1
P2411302,1,P2411302,1
P2513208,1,P2513208,1
P2243798,1,P2243798,1
P2242738,1,P2242738,1
P2478668,1,P2478668,1
P2252728,1,P2252728,1
P2429964,1,P2429964,1
P2467734,1,P2467734,1
P2474928,1,P2474928,1
P2434936,1,P2434936,1
P2217338,1,P2217338,1
P2434026,1,P2434026,1
P2488528,1,P2488528,1
P2465324,1,P2465324,1
P2452230,1,P2452230,1
P2399940,1,P2399940,1
P2429514,1,P2429514,1
P2246018,1,P2246018,1
P2217578,1,P2217578,1
P2260308,1,P2260308,1
P2490388,1,P2490388,1
P2324608,1,P2324608,1
P2299578,1,P2299578,1
P2430124,1,P2430124,1
P2249118,1,P2249118,1
P2246598,1,P2246598,1
P2259438,1,P2259438,1
P2242438,1,P2242438,1
P2396104,1,P2396104,1
P2452160,1,P2452160,1
P2326388,1,P2326388,1
P2400660,1,P2400660,1
P2218558,1,P2218558,1
P2479908,1,P2479908,1
P2452700,1,P2452700,1
P2292288,1,P2292288,1
P2329388,1,P2329388,1
P2501378,1,P2501378,1
P2430724,1,P2430724,1
P2448980,1,P2448980,1
P2430504,1,P2430504,1
P2396124,1,P2396124,1
P2430534,1,P2430534,1
P2487858,1,P2487858,1
P2422442,1,P2422442,1
P2469084,1,P2469084,1
P2467724,1,P2467724,1
P2323998,1,P2323998,1
P2463724,1,P2463724,1
P2251918,1,P2251918,1
P2396084,1,P2396084,1
P2251848,1,P2251848,1
P2324288,1,P2324288,1
P2463144,1,P2463144,1
P2465234,1,P2465234,1
P2430414,1,P2430414,1
P2442758,1,P2442758,1
P2242828,1,P2242828,1
P2478688,1,P2478688,1
P2447610,1,P2447610,1
P2253848,1,P2253848,1
P2479768,1,P2479768,1
P2329378,1,P2329378,1
P2463534,1,P2463534,1
P2449250,1,P2449250,1
P2216848,1,P2216848,1
P2422102,1,P2422102,1
P2445570,1,P2445570,1
P2437766,1,P2437766,1
P2463754,1,P2463754,1
P2468274,1,P2468274,1
P2243008,1,P2243008,1
P2445190,1,P2445190,1
P2481718,1,P2481718,1
P2496138,1,P2496138,1
P2247318,1,P2247318,1
P2245778,1,P2245778,1
P2256018,1,P2256018,1
P2245758,1,P2245758,1
P2465224,1,P2465224,1
P2466354,1,P2466354,1
P2429984,1,P2429984,1
P2430994,1,P2430994,1
P2246828,1,P2246828,1
P2440746,1,P2440746,1
P2329458,1,P2329458,1
P2489328,1,P2489328,1
P2449060,1,P2449060,1
P2437706,1,P2437706,1
P2250288,1,P2250288,1
P2449410,1,P2449410,1
P2246288,1,P2246288,1
P2487078,1,P2487078,1
P2324998,1,P2324998,1
P2326408,1,P2326408,1
P2478598,1,P2478598,1
P2445160,1,P2445160,1
P2324688,1,P2324688,1
P2262808,1,P2262808,1
P2404680,1,P2404680,1
P2244458,1,P2244458,1
P2329448,1,P2329448,1
P2463514,1,P2463514,1
P2430884,1,P2430884,1
P2471728,1,P2471728,1
P2449810,1,P2449810,1
P2245308,1,P2245308,1
P2396184,1,P2396184,1
P2245398,1,P2245398,1
P2434796,1,P2434796,1
P2466074,1,P2466074,1
P2437596,1,P2437596,1
P2247438,1,P2247438,1
P2244438,1,P2244438,1
P2329738,1,P2329738,1
P2247578,1,P2247578,1
P2247018,1,P2247018,1
P2482132,1,P2482132,1
P2434576,1,P2434576,1
P2808857,1,P2808857,1
P2396804,1,P2396804,1
P2429394,1,P2429394,1
P2245278,1,P2245278,1
P2259688,1,P2259688,1
P2452070,1,P2452070,1
P2437566,1,P2437566,1
P2244908,1,P2244908,1
P2479368,1,P2479368,1
P2438176,1,P2438176,1
P2449090,1,P2449090,1
P2326858,1,P2326858,1
P2481418,1,P2481418,1
P2463424,1,P2463424,1
P2323868,1,P2323868,1
P2452520,1,P2452520,1
P2255918,1,P2255918,1
P2242638,1,P2242638,1
P2247048,1,P2247048,1
P2451830,1,P2451830,1
P2445140,1,P2445140,1
P2245488,1,P2245488,1
P2431114,1,P2431114,1
P2242758,1,P2242758,1
P2428694,1,P2428694,1
P2430564,1,P2430564,1
P2808861,1,P2808861,1
P2248698,1,P2248698,1
P2252738,1,P2252738,1
