PATTERN,COUN,TESTNAME
G1403941P2242188_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_ITLRUINCLD2,1,SBFT_SIGON_1500_NOM
G1403950P2345612_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1,SBFT_SIGON_2000_NOM
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_1000_NOM_FF
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_1500_NOM
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_1800_NOM
G1403953P2474328_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREVDETD_TMPDR6_MT_FIX1,2,SBFT_SIGON_2000_NOM
G1403965P2234098_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DIV_TEST_SBFT,1,SBFT_SIGON_2000_NOM
G1403966P2338936_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_INT_MON2_T0_FRITS_ORPHAN_1,1,SBFT_SIGON_2000_NOM
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,12,SBFT_SIGON_1000_NOM_FF
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,15,SBFT_SIGON_1500_NOM
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,15,SBFT_SIGON_1800_NOM
G1403975P2231618_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FLSF2_SBFT,11,SBFT_SIGON_2000_NOM
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_1000_NOM_FF
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_1500_NOM
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_1800_NOM
G1403985P2449300_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST2_ORP_000,2,SBFT_SIGON_2000_NOM
G1403987P2232448_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_LIMIT_4GIGMEM,1,SBFT_SIGON_1800_NOM
G1403987P2232448_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_LIMIT_4GIGMEM,2,SBFT_SIGON_2000_NOM
G1404004P2235288_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_MTRR_PAT2_T0,26,SBFT_SIGON_2000_NOM
G1404034P2240958_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_NLIP_OLDLIPI_T0,1,SBFT_SIGON_2000_NOM
G1404050P2233078_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CLI_PM0_SBFT,1,SBFT_SIGON_1800_NOM
G1404085P2235398_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T0,7,SBFT_SIGON_1800_NOM
G1404085P2235398_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T0,219,SBFT_SIGON_2000_NOM
G1404141P2235468_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_5,2,SBFT_SIGON_1800_NOM
G1404141P2235468_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_5,9,SBFT_SIGON_2000_NOM
G1404152P2238478_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,2,SBFT_SIGON_1500_NOM
G1404152P2238478_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TD_TB_006_STRUCT_TBTACD_ST,1,SBFT_SIGON_1800_NOM
G1404188P2241708_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SADPD_CREG_SBFT_T0,3,SBFT_SIGON_1000_NOM_FF
G1404188P2241708_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SADPD_CREG_SBFT_T0,3,SBFT_SIGON_1500_NOM
G1404188P2241708_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SADPD_CREG_SBFT_T0,3,SBFT_SIGON_1800_NOM
G1404188P2241708_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SADPD_CREG_SBFT_T0,3,SBFT_SIGON_2000_NOM
G1404191P2235438_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_2,3,SBFT_SIGON_1800_NOM
G1404191P2235438_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_2,32,SBFT_SIGON_2000_NOM
G1404194P2477898_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_8,1,SBFT_SIGON_2000_NOM
G1404225P2385502_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_BPPUBDUSEL_2,1,SBFT_SIGON_1800_NOM
G1404244P2231568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_AG_TOGGLE_SBFT,51,SBFT_SIGON_1000_NOM_FF
G1404244P2231568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_AG_TOGGLE_SBFT,46,SBFT_SIGON_1500_NOM
G1404244P2231568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_AG_TOGGLE_SBFT,48,SBFT_SIGON_1800_NOM
G1404244P2231568_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_AG_TOGGLE_SBFT,46,SBFT_SIGON_2000_NOM
G1404250P2235458_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_4,1,SBFT_SIGON_1800_NOM
G1404250P2235458_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_4,14,SBFT_SIGON_2000_NOM
G1404263P2489358_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_IMMED_MOV1_SEQ_02,1,SBFT_SIGON_2000_NOM
G1404329P2232508_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_TD_TB_LIMIT_4GIGMEM,1,SBFT_SIGON_1500_NOM
G1404336P2480248_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_FRITS_T1_IQSSU_FILLFIFO_LIMITALLSCHLR,1,SBFT_SIGON_2000_NOM
G1404359P2237918_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SACTL_DAT_SBFT_T0,2,SBFT_SIGON_1000_NOM_FF
G1404359P2237918_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SACTL_DAT_SBFT_T0,2,SBFT_SIGON_1500_NOM
G1404359P2237918_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SACTL_DAT_SBFT_T0,2,SBFT_SIGON_1800_NOM
G1404359P2237918_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SACTL_DAT_SBFT_T0,2,SBFT_SIGON_2000_NOM
G1404405P2473418_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_TBITRDD_BPUSTEW_TRAP_1A,1,SBFT_SIGON_1500_NOM
G1404440P2345242_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_ISMATCHN_PATTERN_MASK_2,1,SBFT_SIGON_1800_NOM
G1404503P2235408_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T1,7,SBFT_SIGON_1800_NOM
G1404503P2235408_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_2_T1,145,SBFT_SIGON_2000_NOM
G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,11,SBFT_SIGON_1000_NOM_FF
G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,11,SBFT_SIGON_1500_NOM
G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,76,SBFT_SIGON_1800_NOM
G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000,876,SBFT_SIGON_2000_NOM
G1404535P2235178_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_ABC_FP_R2I_INT64RNDTOZERO_SBFT,1,SBFT_SIGON_2000_NOM
G1404539P2233638_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FA_RND_VX_ADD_SUB_DBL_SBFT,1,SBFT_SIGON_2000_NOM
G1404574P2235448_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_3,1,SBFT_SIGON_1800_NOM
G1404574P2235448_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MEU_PMH_VAR_MTRR_4K_MATCH_3,17,SBFT_SIGON_2000_NOM
G1404575P2238388_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IXPLA3TEST04,1,SBFT_SIGON_2000_NOM
G1404580P2473078_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MOB_MODPAEXTDEC_2,1,SBFT_SIGON_2000_NOM
G1404603P2234778_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DAC_ULL0_FILL_CONFLICT_T0,1,SBFT_SIGON_2000_NOM
G1404638P2432094_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_EXECCREGTEST,2,SBFT_SIGON_1000_NOM_FF
G1404638P2432094_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_EXECCREGTEST,2,SBFT_SIGON_1500_NOM
G1404638P2432094_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_EXECCREGTEST,2,SBFT_SIGON_1800_NOM
G1404672P2232968_014040_PK03DB_LBXXX_US1PM1X0XXXIXXXXX_WMT_BRAZOS3006635_EQU_SBFT,1,SBFT_SIGON_2000_NOM
