PATTERN,COUN,TESTNAME
D1499446P2347582_012020_PK04DG_FTXXX_UX1XM1X0SK4XXXXXX_CRUCHK_PH1_STATPG,23,SCANATPG_0120_NOM_1000
D1499446P2347582_012020_PK04DG_FTXXX_UX1XM1X0SK4XXXXXX_CRUCHK_PH1_STATPG,23,SCANATPG_0120_NOM_1200
D1499446P2347582_012020_PK04DG_FTXXX_UX1XM1X0SK4XXXXXX_CRUCHK_PH1_STATPG,23,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499449P2366084_012020_PK04DG_FTXXX_UX1XM1X0SP4XXXXXX_PIX_PH1_STATPG,13,SCANATPG_0120_NOM_1000
D1499449P2366084_012020_PK04DG_FTXXX_UX1XM1X0SP4XXXXXX_PIX_PH1_STATPG,19,SCANATPG_0120_NOM_1200
D1499449P2366084_012020_PK04DG_FTXXX_UX1XM1X0SP4XXXXXX_PIX_PH1_STATPG,12,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499451P2466864_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_STATPG,2,SCANATPG_0120_NOM_1000
D1499451P2466864_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_STATPG,5,SCANATPG_0120_NOM_1200
D1499451P2466864_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_STATPG,3,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499459P2468964_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_STATPG,2,SCANATPG_0120_NOM_1200
D1499461P2532870_012020_PK04DG_FTXXX_UX1XM1X0SO0XXXXXX_MOS_PH1PH2_ISO_AZTEC_STATPG,1,SCANATPG_0120_NOM_1200
D1499462P2532820_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_AZTEC_STATPG,2,SCANATPG_0120_NOM_1200
D1499464P2532660_012020_PK04DG_FTXXX_UX1XM1X0SS0XXXXXX_MS_PH1PH2_AZTEC_STATPG,104,SCANATPG_0120_NOM_1200
D1499474P2517248_012020_PK04DG_FTXXX_UX1XM1X0SI0XXXXXX_IEX_PH1PH2_NDET_3_STATPG,1,SCANATPG_0120_NOM_1200
D1499480P2516888_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_3_STATPG,3,SCANATPG_0120_NOM_1200
D1499481P2516908_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_5_STATPG,1,SCANATPG_0120_NOM_1000
D1499481P2516908_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_5_STATPG,2,SCANATPG_0120_NOM_1200
D1499482P2516898_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_4_STATPG,3,SCANATPG_0120_NOM_1200
D1499484P2516878_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_2_STATPG,1,SCANATPG_0120_NOM_1000
D1499484P2516878_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_2_STATPG,3,SCANATPG_0120_NOM_1200
D1499485P2516918_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_6_STATPG,1,SCANATPG_0120_NOM_1200
D1499486P2517098_012020_PK04DG_FTXXX_UX1XM1X0SD0XXXXXX_FMXD_PH1PH2_NDET_2_STATPG,2,SCANATPG_0120_NOM_1200
D1499506P2504908_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_NDET_2_STATPG,26,SCANATPG_0120_NOM_1000
D1499506P2504908_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_NDET_2_STATPG,26,SCANATPG_0120_NOM_1200
D1499506P2504908_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_NDET_2_STATPG,26,SCANATPG_SCOREBOARD_0120_NOM_1000
D1499509P2504998_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_NDET_6_STATPG,1,SCANATPG_0120_NOM_1200
D1499511P2505158_012020_PK04DG_FTXXX_UX1XM1X0SC2XXXXXX_TC_PH2_NDET_3_STATPG,1,SCANATPG_0120_NOM_1200
D1499517P2520238_012020_PK04DG_FTXXX_UX1XM1X0SM0XXXXXX_FARM_PH1PH2_NDET_2_STATPG,1,SCANATPG_0120_NOM_1200
D1499520P2520338_012020_PK04DG_FTXXX_UX1XM1X0SS0XXXXXX_MS_PH1PH2_NDET_3_STATPG,2,SCANATPG_0120_NOM_1200
D1499526P2533260_012020_PK04DG_FTXXX_UX1XM1X0SO0XXXXXX_MOS_PH1PH2_ISO_NDET_5_STATPG,2,SCANATPG_0120_NOM_1200
D1499529P2520808_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_NDET_4_STATPG,1,SCANATPG_0120_NOM_1200
D1499530P2520718_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_4_STATPG,1,SCANATPG_0120_NOM_1200
D1499533P2520708_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_3_STATPG,1,SCANATPG_0120_NOM_1200
D1499534P2520818_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_NDET_5_STATPG,1,SCANATPG_0120_NOM_1200
D1499535P2520738_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_6_STATPG,1,SCANATPG_0120_NOM_1200
D1499536P2520728_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_5_STATPG,2,SCANATPG_0120_NOM_1200
D1499537P2520548_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_6_STATPG,1,SCANATPG_0120_NOM_1200
D1499539P2533240_012020_PK04DG_FTXXX_UX1XM1X0SO0XXXXXX_MOS_PH1PH2_ISO_NDET_3_STATPG,1,SCANATPG_0120_NOM_1200
D1499543P2520518_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_3_STATPG,2,SCANATPG_0120_NOM_1200
D1499544P2520528_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_4_STATPG,1,SCANATPG_0120_NOM_1200
D1499548P2520788_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_NDET_2_STATPG,1,SCANATPG_0120_NOM_1200
D1501206P2403880_012020_PK04DG_FTXXX_UX1XM1X0SR4XXXXXX_CRUROB_PH1_STATPG,15,SCANATPG_0120_NOM_1000
D1501206P2403880_012020_PK04DG_FTXXX_UX1XM1X0SR4XXXXXX_CRUROB_PH1_STATPG,16,SCANATPG_0120_NOM_1200
D1501206P2403880_012020_PK04DG_FTXXX_UX1XM1X0SR4XXXXXX_CRUROB_PH1_STATPG,15,SCANATPG_SCOREBOARD_0120_NOM_1000
D1501207P2345844_012020_PK04DG_FTXXX_UX1XM1X0ST2XXXXXX_RALF_PH2_STATPG,1,SCANATPG_0120_NOM_1000
D1501207P2345844_012020_PK04DG_FTXXX_UX1XM1X0ST2XXXXXX_RALF_PH2_STATPG,1,SCANATPG_0120_NOM_1200
D1501207P2345844_012020_PK04DG_FTXXX_UX1XM1X0ST2XXXXXX_RALF_PH2_STATPG,1,SCANATPG_SCOREBOARD_0120_NOM_1000
D1503965P2403890_012020_PK04DG_FTXXX_UX1XM1X0SR2XXXXXX_CRUROB_PH2_STATPG,2,SCANATPG_0120_NOM_1000
D1503965P2403890_012020_PK04DG_FTXXX_UX1XM1X0SR2XXXXXX_CRUROB_PH2_STATPG,6,SCANATPG_0120_NOM_1200
D1503965P2403890_012020_PK04DG_FTXXX_UX1XM1X0SR2XXXXXX_CRUROB_PH2_STATPG,2,SCANATPG_SCOREBOARD_0120_NOM_1000
D1503968P2424332_012020_PK04DG_FTXXX_UX1XM1X0SQ2XXXXXX_IQSSU_PH2_STATPG,2,SCANATPG_0120_NOM_1000
D1503968P2424332_012020_PK04DG_FTXXX_UX1XM1X0SQ2XXXXXX_IQSSU_PH2_STATPG,7,SCANATPG_0120_NOM_1200
D1503968P2424332_012020_PK04DG_FTXXX_UX1XM1X0SQ2XXXXXX_IQSSU_PH2_STATPG,2,SCANATPG_SCOREBOARD_0120_NOM_1000
D1503972P2384930_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_STATPG,32,SCANATPG_0120_NOM_1000
D1503972P2384930_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_STATPG,35,SCANATPG_0120_NOM_1200
D1503972P2384930_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_STATPG,32,SCANATPG_SCOREBOARD_0120_NOM_1000
D1503973P2421942_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_STATPG,52,SCANATPG_0120_NOM_1000
D1503973P2421942_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_STATPG,52,SCANATPG_0120_NOM_1200
D1503973P2421942_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_STATPG,51,SCANATPG_SCOREBOARD_0120_NOM_1000
D1503978P2466454_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_STATPG,3,SCANATPG_0120_NOM_1200
D1503979P2466874_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_STATPG,2,SCANATPG_0120_NOM_1200
D1503979P2466874_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_STATPG,1,SCANATPG_SCOREBOARD_0120_NOM_1000
D1503982P2532830_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_AZTEC_STATPG,1,SCANATPG_0120_NOM_1200
D1503989P2505888_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_STATPG_BRIDGE,1,SCANATPG_0120_NOM_1200
D1503990P2477618_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_STATPG_BRIDGE,2,SCANATPG_0120_NOM_1200
D1503991P2477178_012020_PK04DG_FTXXX_UX1XM1X0SI0XXXXXX_IEX_PH1PH2_STATPG_BRIDGE,1,SCANATPG_0120_NOM_1200
D1503992P2532840_012020_PK04DG_FTXXX_UX1XM1X0SO0XXXXXX_MOS_PH1PH2_ISO_STATPG_BRIDGE,1,SCANATPG_0120_NOM_1200
D1503995P2482252_012020_PK04DG_FTXXX_UX1XM1X0SQ2XXXXXX_IQSSU_PH2_STATPG_BRIDGE,6,SCANATPG_0120_NOM_1200
D1503997P2475218_012020_PK04DG_FTXXX_UX1XM1X0SD0XXXXXX_FMXD_PH1PH2_STATPG_BRIDGE,2,SCANATPG_0120_NOM_1200
D1504002P2506008_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_STATPG_BRIDGE,4,SCANATPG_0120_NOM_1200
D1504013P2516178_012020_PK04DG_FTXXX_UX1XM1X0SS0XXXXXX_MS_PH1PH2_BRIDGE,2,SCANATPG_0120_NOM_1200
D1504016P2508768_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_STATPG_BRIDGE,2,SCANATPG_0120_NOM_1200
D1504017P2516198_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_BRIDGE,4,SCANATPG_0120_NOM_1000
D1504017P2516198_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_BRIDGE,4,SCANATPG_0120_NOM_1200
D1504017P2516198_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_BRIDGE,4,SCANATPG_SCOREBOARD_0120_NOM_1000
D1504024P2517548_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_NDET_3_STATPG,6,SCANATPG_0120_NOM_1200
D1504025P2517538_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_NDET_2_STATPG,3,SCANATPG_0120_NOM_1200
D1504029P2516968_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_STATPG_BRIDGE,1,SCANATPG_0120_NOM_1200
D1504033P2517558_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_NDET_4_STATPG,2,SCANATPG_0120_NOM_1200
D1504034P2517568_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_NDET_5_STATPG,3,SCANATPG_0120_NOM_1200
D1504036P2517578_012020_PK04DG_FTXXX_UX1XM1X0SR0XXXXXX_CRUROB_PH1PH2_NDET_6_STATPG,3,SCANATPG_0120_NOM_1200
D1504039P2517348_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_2_STATPG,1,SCANATPG_0120_NOM_1200
D1504040P2517378_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_5_STATPG,1,SCANATPG_0120_NOM_1200
D1504041P2517358_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_3_STATPG,1,SCANATPG_0120_NOM_1000
D1504041P2517358_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_3_STATPG,2,SCANATPG_0120_NOM_1200
D1504041P2517358_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_3_STATPG,1,SCANATPG_SCOREBOARD_0120_NOM_1000
D1504043P2517368_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_4_STATPG,1,SCANATPG_0120_NOM_1200
D1504046P2517388_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_6_STATPG,4,SCANATPG_0120_NOM_1200
D1505059P2513378_012020_PK04DG_FTXXX_UX1XM1X0SQ0XXXXXX_IQSSU_PH1PH2_STATPG_BRIDGE,6,SCANATPG_0120_NOM_1200
D1505060P2424322_012020_PK04DG_FTXXX_UX1XM1X0SQ4XXXXXX_IQSSU_PH1_STATPG,6,SCANATPG_0120_NOM_1000
D1505060P2424322_012020_PK04DG_FTXXX_UX1XM1X0SQ4XXXXXX_IQSSU_PH1_STATPG,10,SCANATPG_0120_NOM_1200
D1505060P2424322_012020_PK04DG_FTXXX_UX1XM1X0SQ4XXXXXX_IQSSU_PH1_STATPG,6,SCANATPG_SCOREBOARD_0120_NOM_1000
