PATTERN,COUNT,TESTNAME
G1644458P2532050_011717_PL01DY_FTAXX_UX1XM310XXXXXXXXX_BASIC_GV3,13,XSHIP_GV200_0117_MINMIN_2003400_0125
G1644461P2532030_011515_PL01DY_FTAXX_UX1XM3Q0XXXXXXXXX_BASIC_GV3,9,XSHIP_GV200_0115_MINMIN_2003000_0127
GV3T15_PSC_PRE_1M_VREVG0_011414_F2_DDR_HVM_0,56,XSHIP_GV133_0120_MINMIN_1332667_0225
