P2246048,1,P2246048,1
P2400680,1,P2400680,1
P2430694,1,P2430694,1
P2244648,1,P2244648,1
P2484488,1,P2484488,1
P2430034,1,P2430034,1
P2496148,1,P2496148,1
P2468234,1,P2468234,1
P2329788,1,P2329788,1
P2255518,1,P2255518,1
P2469074,1,P2469074,1
P2437046,1,P2437046,1
P2398064,1,P2398064,1
P2256008,1,P2256008,1
P2431904,1,P2431904,1
P2261498,1,P2261498,1
P2259178,1,P2259178,1
P2434266,1,P2434266,1
P2484778,1,P2484778,1
P2244218,1,P2244218,1
P2253888,1,P2253888,1
P2246788,1,P2246788,1
P2326608,1,P2326608,1
P2808855,1,P2808855,1
P2801763,1,P2801763,1
P2802218,1,P2802218,1
P2570872,1,P2570872,1
P2245208,1,P2245208,1
P2253698,1,P2253698,1
P2479388,1,P2479388,1
P2260238,1,P2260238,1
P2495598,1,P2495598,1
P2213088,1,P2213088,1
P2222738,1,P2222738,1
P2243328,1,P2243328,1
P2808874,1,P2808874,1
P2254538,1,P2254538,1
P2247738,1,P2247738,1
P2252878,1,P2252878,1
P2431064,1,P2431064,1
P2398954,1,P2398954,1
P2422612,1,P2422612,1
P2396844,1,P2396844,1
P2430004,1,P2430004,1
P2501958,1,P2501958,1
P2260758,1,P2260758,1
P2756312,1,P2756312,1
P2253138,1,P2253138,1
P2244258,1,P2244258,1
P2802234,1,P2802234,1
P2480718,1,P2480718,1
P2449650,1,P2449650,1
P2245098,1,P2245098,1
P2479338,1,P2479338,1
P2437606,1,P2437606,1
P2245268,1,P2245268,1
P2479528,1,P2479528,1
P2246368,1,P2246368,1
P2431184,1,P2431184,1
P2397124,1,P2397124,1
P2245218,1,P2245218,1
P2430964,1,P2430964,1
P2487068,1,P2487068,1
P2255798,1,P2255798,1
P2504448,1,P2504448,1
P2479488,1,P2479488,1
P2445150,1,P2445150,1
P2449330,1,P2449330,1
P2251068,1,P2251068,1
P2433986,1,P2433986,1
P2465304,1,P2465304,1
P2441048,1,P2441048,1
P2324588,1,P2324588,1
P2501368,1,P2501368,1
P2465294,1,P2465294,1
P2214978,1,P2214978,1
P2246158,1,P2246158,1
P2433876,1,P2433876,1
P2756302,1,P2756302,1
P2247368,1,P2247368,1
P2503158,1,P2503158,1
P2378820,1,P2378820,1
P2244168,1,P2244168,1
P2326528,1,P2326528,1
P2499058,1,P2499058,1
P2261788,1,P2261788,1
P2431264,1,P2431264,1
P2449030,1,P2449030,1
P2429954,1,P2429954,1
P2490598,1,P2490598,1
P2513248,1,P2513248,1
P2430524,1,P2430524,1
P2502868,1,P2502868,1
P2429384,1,P2429384,1
P2808866,1,P2808866,1
P2445110,1,P2445110,1
P2801757,1,P2801757,1
P2508858,1,P2508858,1
P2325008,1,P2325008,1
P2471048,1,P2471048,1
P2244208,1,P2244208,1
P2325898,1,P2325898,1
P2443358,1,P2443358,1
P2478778,1,P2478778,1
P2325048,1,P2325048,1
P2434776,1,P2434776,1
P2242508,1,P2242508,1
P2445230,1,P2445230,1
P2245118,1,P2245118,1
P2262888,1,P2262888,1
P2249358,1,P2249358,1
P2434056,1,P2434056,1
P2243498,1,P2243498,1
P2248468,1,P2248468,1
P2244268,1,P2244268,1
P2447830,1,P2447830,1
P2242858,1,P2242858,1
P2801756,1,P2801756,1
P2255978,1,P2255978,1
P2248568,1,P2248568,1
P2338486,1,P2338486,1
P2324568,1,P2324568,1
P2245258,1,P2245258,1
P2437546,1,P2437546,1
P2254048,1,P2254048,1
P2254068,1,P2254068,1
P2452670,1,P2452670,1
P2434826,1,P2434826,1
P2243368,1,P2243368,1
P2418572,1,P2418572,1
P2400070,1,P2400070,1
P2497658,1,P2497658,1
P2478728,1,P2478728,1
P2314818,1,P2314818,1
P2431124,1,P2431124,1
P2255508,1,P2255508,1
P2243728,1,P2243728,1
P2325278,1,P2325278,1
P2430754,1,P2430754,1
P2801834,1,P2801834,1
P2260708,1,P2260708,1
P2479518,1,P2479518,1
