P2233778,1,P2233778,1
P2527218,1,P2527218,1
P2235388,1,P2235388,1
P2241678,1,P2241678,1
P2527248,1,P2527248,1
P2345512,1,P2345512,1
P2527208,1,P2527208,1
P2344296,1,P2344296,1
P2240728,1,P2240728,1
P2345552,1,P2345552,1
P2385492,1,P2385492,1
P2389268,1,P2389268,1
P2344576,1,P2344576,1
P2230778,1,P2230778,1
P2235818,1,P2235818,1
P2222278,1,P2222278,1
P2235808,1,P2235808,1
P2344546,1,P2344546,1
P2235308,1,P2235308,1
P2233068,1,P2233068,1
P2310078,1,P2310078,1
P2528768,1,P2528768,1
P2344476,1,P2344476,1
P2385772,1,P2385772,1
P2505638,1,P2505638,1
P2505568,1,P2505568,1
P2242298,1,P2242298,1
P2444730,1,P2444730,1
P2237178,1,P2237178,1
P2472548,1,P2472548,1
P2345532,1,P2345532,1
P2444820,1,P2444820,1
P2234138,1,P2234138,1
P2222198,1,P2222198,1
P2385332,1,P2385332,1
P2235758,1,P2235758,1
P2235798,1,P2235798,1
P2345602,1,P2345602,1
P2241688,1,P2241688,1
P2527198,1,P2527198,1
P2446850,1,P2446850,1
P2505608,1,P2505608,1
P2741752,1,P2741752,1
P2236568,1,P2236568,1
P2385652,1,P2385652,1
P2472918,1,P2472918,1
P2266568,1,P2266568,1
P2345492,1,P2345492,1
P2376150,1,P2376150,1
P2221758,1,P2221758,1
P2527188,1,P2527188,1
P2338836,1,P2338836,1
P2231148,1,P2231148,1
P2235788,1,P2235788,1
P2232148,1,P2232148,1
P2338616,1,P2338616,1
P2240518,1,P2240518,1
P2345522,1,P2345522,1
P2242348,1,P2242348,1
P2230068,1,P2230068,1
P2239298,1,P2239298,1
P2344800,1,P2344800,1
P2231568,1,P2231568,1
P2375990,1,P2375990,1
P2238838,1,P2238838,1
P2435216,1,P2435216,1
P2238088,1,P2238088,1
P2236718,1,P2236718,1
P2446860,1,P2446860,1
P2345722,1,P2345722,1
P2235378,1,P2235378,1
P2344176,1,P2344176,1
P2234778,1,P2234778,1
P2345352,1,P2345352,1
P2231648,1,P2231648,1
P2344750,1,P2344750,1
P2528778,1,P2528778,1
P2344920,1,P2344920,1
P2385832,1,P2385832,1
P2442808,1,P2442808,1
P2343926,1,P2343926,1
P2527238,1,P2527238,1
P2232108,1,P2232108,1
P2266598,1,P2266598,1
P2528758,1,P2528758,1
P2233758,1,P2233758,1
P2473398,1,P2473398,1
P2232688,1,P2232688,1
P2505678,1,P2505678,1
P2345712,1,P2345712,1
P2242168,1,P2242168,1
