TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
298.3678,7721,24,8PLAEVHH,3,12.431991666666666666666667,PSCDTJMH8MC830G3,
112.8056,7721,9,8PLAEVHH,3,12.533955555555555555555556,PSCDTJMH8MC830G3,
1191.5719,7721,95,8PLAEVHH,3,12.542862105263157894736842,PSCDTJMH8MC830G3,
99.4941,7721,8,8PLAEVHH,3,12.4367625,PSCDTJMH8MC830G3,
510.8375,7721,40,8PLAEVHH,3,12.7709375,PSCDTJMH8MC830G3,
140.8452,7721,10,8PLAEVHH,3,14.08452,PSCDTJMH8MC830G3,
688.6311,7721,56,8PLAEVHH,3,12.296983928571428571428571,PSCDTJMH8MC830G3,
586.5144,7721,45,8PLAEVHH,3,13.033653333333333333333333,PSCDTJMH8MC830G3,
410.0744,7721,32,8PLAEVHH,3,12.814825,PSCDTJMH8MC830G3,
283.4541,7721,23,8PLAEVHH,3,12.324091304347826086956522,PSCDTJMH8MC830G3,
