TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
9700.9216,7721,704,8PLADVHH,3,13.77971818,PSCDTJMH8MC830G0
9960.3338,7721,671,8PLADVHH,3,14.84401461,PSCDTJMH8MC830G0
9007.5988,7721,570,8PLADVHH,3,15.80280491,PSCDTJMH8MC830G0
6472.8359,7721,486,8PLADVHH,3,13.31859239,PSCDTJMH8MC830G0
9198.2166,7721,662,8PLADVHH,3,13.89458701,PSCDTJMH8MC830G0
12097.0179,7721,881,8PLADVHH,3,13.73100783,PSCDTJMH8MC830G0
5124.9975,7721,386,8PLADVHH,3,13.2771956,PSCDTJMH8MC830G0
6507.2923,7721,491,8PLADVHH,3,13.25314114,PSCDTJMH8MC830G0
7390.1207,7721,560,8PLADVHH,3,13.19664411,PSCDTJMH8MC830G0
12821.5414,7721,845,8PLADVHH,3,15.17342178,PSCDTJMH8MC830G0
12336.1977,7721,881,8PLADVHH,3,14.00249455,PSCDTJMH8MC830G0
11335.4786,7721,861,8PLADVHH,3,13.16548037,PSCDTJMH8MC830G0
10283.6907,7721,770,8PLADVHH,3,13.35544247,PSCDTJMH8MC830G0
10607.976,7721,768,8PLADVHH,3,13.81246875,PSCDTJMH8MC830G0
10810.9019,7721,815,8PLADVHH,3,13.26491031,PSCDTJMH8MC830G0
12861.6917,7721,972,8PLADVHH,3,13.23219311,PSCDTJMH8MC830G0
4060.0998,7721,303,8PLADVHH,3,13.39966931,PSCDTJMH8MC830G0
6117.967,7721,436,8PLADVHH,3,14.0320344,PSCDTJMH8MC830G0
2504.687,7721,186,8PLADVHH,3,13.46605914,PSCDTJMH8MC830G0
4359.0044,7721,286,8PLADVHH,3,15.24127413,PSCDTJMH8MC830G0
2178.5099,7721,161,8PLADVHH,3,13.53111739,PSCDTJMH8MC830G0
3511.1516,7721,249,8PLADVHH,3,14.10101044,PSCDTJMH8MC830G0
14421.2864,7721,1021,8PLADVHH,3,14.12466836,PSCDTJMH8MC830G0
14816.5514,7721,981,8PLADVHH,3,15.10351825,PSCDTJMH8MC830G0
12848.6716,7721,965,8PLADVHH,3,13.3146856,PSCDTJMH8MC830G0
13271.6929,7721,863,8PLADVHH,3,15.37855492,PSCDTJMH8MC830G0
11392.2135,7721,855,8PLADVHH,3,13.32422632,PSCDTJMH8MC830G0
9824.5748,7721,732,8PLADVHH,3,13.42155027,PSCDTJMH8MC830G0
8018.0576,7721,602,8PLADVHH,3,13.31903256,PSCDTJMH8MC830G0
4297.2039,7721,323,8PLADVHH,3,13.30403684,PSCDTJMH8MC830G0
4328.4988,7721,267,8PLADVHH,3,16.21160599,PSCDTJMH8MC830G0
