TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
268.3195,7721,22,8PAREVHH,4,12.196340909090909090909091,PSCDTJMH8MC830G0,
402.5289,7721,36,8PAREVHH,4,11.181358333333333333333333,PSCDTJMH8MC830G0,
382.5514,7721,34,8PAREVHH,4,11.251511764705882352941176,PSCDTJMH8MC830G0,
414.7844,7721,37,8PAREVHH,4,11.210389189189189189189189,PSCDTJMH8MC830G0,
1288.6778,7721,113,8PAREVHH,4,11.404228318584070796460177,PSCDTJMH8MC830G0,
896.1821,7721,79,8PAREVHH,4,11.344077215189873417721519,PSCDTJMH8MC830G0,
735.3048,7721,66,8PAREVHH,4,11.140981818181818181818182,PSCDTJMH8MC830G0,
738.5376,7721,64,8PAREVHH,4,11.53965,PSCDTJMH8MC830G0,
402.5461,7721,35,8PAREVHH,4,11.501317142857142857142857,PSCDTJMH8MC830G0,
388.8782,7721,35,8PAREVHH,4,11.110805714285714285714286,PSCDTJMH8MC830G0,
361.4412,7721,31,8PAREVHH,4,11.659393548387096774193548,PSCDTJMH8MC830G0,
348.0008,7721,31,8PAREVHH,4,11.225832258064516129032258,PSCDTJMH8MC830G0,
323.3068,7721,29,8PAREVHH,4,11.148510344827586206896552,PSCDTJMH8MC830G0,
455.8865,7721,33,8PAREVHH,4,13.814742424242424242424242,PSCDTJMH8MC830G0,
267.8381,7721,24,8PAREVHH,4,11.159920833333333333333333,PSCDTJMH8MC830G0,
234.0657,7721,21,8PAREVHH,4,11.145985714285714285714286,PSCDTJMH8MC830G0,
860.6623,7721,77,8PAREVHH,4,11.177432467532467532467532,PSCDTJMH8MC830G0,
662.3062,7721,58,8PAREVHH,4,11.419072413793103448275862,PSCDTJMH8MC830G0,
413.5396,7721,37,8PAREVHH,4,11.176745945945945945945946,PSCDTJMH8MC830G0,
457.6336,7721,41,8PAREVHH,4,11.161795121951219512195122,PSCDTJMH8MC830G0,
601.4655,7721,54,8PAREVHH,4,11.13825,PSCDTJMH8MC830G0,
345.7941,7721,31,8PAREVHH,4,11.154648387096774193548387,PSCDTJMH8MC830G0,
524.9385,7721,47,8PAREVHH,4,11.168904255319148936170213,PSCDTJMH8MC830G0,
