P2503098,1,P2503098,1
P2445100,1,P2445100,1
P2433836,1,P2433836,1
P2251288,1,P2251288,1
P2437046,1,P2437046,1
P2222828,1,P2222828,1
P2449070,1,P2449070,1
P2801765,1,P2801765,1
P2260378,1,P2260378,1
P2430454,1,P2430454,1
P2502408,1,P2502408,1
P2387570,1,P2387570,1
P2437746,1,P2437746,1
P2253888,1,P2253888,1
P2325258,1,P2325258,1
P2324968,1,P2324968,1
P2802218,1,P2802218,1
P2570872,1,P2570872,1
P2496908,1,P2496908,1
P2246668,1,P2246668,1
P2262178,1,P2262178,1
P2468204,1,P2468204,1
P2259438,1,P2259438,1
P2242438,1,P2242438,1
P2210378,1,P2210378,1
P2222848,1,P2222848,1
P2479878,1,P2479878,1
P2494928,1,P2494928,1
P2218558,1,P2218558,1
P2479778,1,P2479778,1
P2504408,1,P2504408,1
P2245128,1,P2245128,1
P2259428,1,P2259428,1
P2501378,1,P2501378,1
P2222988,1,P2222988,1
P2501988,1,P2501988,1
P2463294,1,P2463294,1
P2253138,1,P2253138,1
P2474208,1,P2474208,1
P6074561,1,P6074561,1
P2467724,1,P2467724,1
P2246368,1,P2246368,1
P2323998,1,P2323998,1
P2254218,1,P2254218,1
P2478768,1,P2478768,1
P2463724,1,P2463724,1
P2434046,1,P2434046,1
P2396084,1,P2396084,1
P2801780,1,P2801780,1
P2479488,1,P2479488,1
P2479458,1,P2479458,1
P2251068,1,P2251068,1
P2259308,1,P2259308,1
P2495318,1,P2495318,1
P2395498,1,P2395498,1
P2223148,1,P2223148,1
P2338346,1,P2338346,1
P2447730,1,P2447730,1
P2484768,1,P2484768,1
P2442758,1,P2442758,1
P2246038,1,P2246038,1
P2242528,1,P2242528,1
P2756302,1,P2756302,1
P2442748,1,P2442748,1
P2324668,1,P2324668,1
P2502888,1,P2502888,1
P2222638,1,P2222638,1
P2329378,1,P2329378,1
P2415862,1,P2415862,1
P2463754,1,P2463754,1
P2501218,1,P2501218,1
P2429384,1,P2429384,1
P2801757,1,P2801757,1
P2325008,1,P2325008,1
P2495388,1,P2495388,1
P2326068,1,P2326068,1
P2481718,1,P2481718,1
P2430144,1,P2430144,1
P2326648,1,P2326648,1
P2256198,1,P2256198,1
P2247688,1,P2247688,1
P2244588,1,P2244588,1
P2445180,1,P2445180,1
P2244898,1,P2244898,1
P2245258,1,P2245258,1
P2487078,1,P2487078,1
P2437776,1,P2437776,1
P2388998,1,P2388998,1
P2509408,1,P2509408,1
P2802240,1,P2802240,1
P2412066,1,P2412066,1
P2243318,1,P2243318,1
P2400070,1,P2400070,1
P2468244,1,P2468244,1
P2801771,1,P2801771,1
P2496478,1,P2496478,1
P2468304,1,P2468304,1
P2449810,1,P2449810,1
P2479518,1,P2479518,1
P2437016,1,P2437016,1
P2429564,1,P2429564,1
P2396184,1,P2396184,1
P2464074,1,P2464074,1
P2242698,1,P2242698,1
P2468134,1,P2468134,1
P2437596,1,P2437596,1
P2387948,1,P2387948,1
P2252698,1,P2252698,1
P2502398,1,P2502398,1
P2429884,1,P2429884,1
P2429644,1,P2429644,1
P2482132,1,P2482132,1
P2217498,1,P2217498,1
P2431044,1,P2431044,1
P2509368,1,P2509368,1
P2246518,1,P2246518,1
P2442688,1,P2442688,1
P2259688,1,P2259688,1
P2430374,1,P2430374,1
P2479368,1,P2479368,1
P2243058,1,P2243058,1
P2262968,1,P2262968,1
P2430284,1,P2430284,1
P2430484,1,P2430484,1
P2431304,1,P2431304,1
P2463424,1,P2463424,1
P2446050,1,P2446050,1
P2259028,1,P2259028,1
P2494758,1,P2494758,1
P6013449,1,P6013449,1
P2479808,1,P2479808,1
P2494768,1,P2494768,1
P2325058,1,P2325058,1
P2481168,1,P2481168,1
P2325028,1,P2325028,1
P2256028,1,P2256028,1
P2260358,1,P2260358,1
P2222628,1,P2222628,1
P2449080,1,P2449080,1
P2262478,1,P2262478,1
P2448740,1,P2448740,1
P2509358,1,P2509358,1
P2248138,1,P2248138,1
P2244548,1,P2244548,1
P2218838,1,P2218838,1
P2259848,1,P2259848,1
P2246818,1,P2246818,1
