sicc_AVID_ref_0110c_nom1401400_0201_max,sicc_AVID_ref_0110c_nom1401400_0201_min,sicc_AVID_ref_0110c_nom1401400_0201_avg,sicc_AVID_ref_0110c_nom1401400_0201_med,dicc_AVID1_ref_0118c_nom1041867_0301_max,dicc_AVID1_ref_0118c_nom1041867_0301_min,dicc_AVID1_ref_0118c_nom1041867_0301_avg,dicc_AVID1_ref_0118c_nom1041867_0301_med,dicc_AVID2_ref_0118c_nom1192133_0401_max,dicc_AVID2_ref_0118c_nom1192133_0401_min,dicc_AVID2_ref_0118c_nom1192133_0401_avg,dicc_AVID2_ref_0118c_nom1192133_0401_med,dicc_AVID3_ref_0118c_nom1332400_0501_max,dicc_AVID3_ref_0118c_nom1332400_0501_min,dicc_AVID3_ref_0118c_nom1332400_0501_avg,dicc_AVID3_ref_0118c_nom1332400_0501_med
31.072,30.976,31.0396,31.04,86.56,86.4,86.4788,86.48,94.12,93.936,94.0492,94.064,101.656,101.464,101.5712,101.576
sicc_AVID_ref_0110c_nom1401400_0201_max,sicc_AVID_ref_0110c_nom1401400_0201_min,sicc_AVID_ref_0110c_nom1401400_0201_avg,sicc_AVID_ref_0110c_nom1401400_0201_med,dicc_AVID1_ref_0118c_nom1041867_0301_max,dicc_AVID1_ref_0118c_nom1041867_0301_min,dicc_AVID1_ref_0118c_nom1041867_0301_avg,dicc_AVID1_ref_0118c_nom1041867_0301_med,dicc_AVID2_ref_0118c_nom1192133_0401_max,dicc_AVID2_ref_0118c_nom1192133_0401_min,dicc_AVID2_ref_0118c_nom1192133_0401_avg,dicc_AVID2_ref_0118c_nom1192133_0401_med,dicc_AVID3_ref_0118c_nom1332400_0501_max,dicc_AVID3_ref_0118c_nom1332400_0501_min,dicc_AVID3_ref_0118c_nom1332400_0501_avg,dicc_AVID3_ref_0118c_nom1332400_0501_med
30.904,30.824,30.852,30.848,85.608,85.448,85.5468,85.544,93.128,92.976,93.0584,93.072,100.552,100.376,100.4856,100.504
sicc_AVID_ref_0110c_nom1401400_0201_max,sicc_AVID_ref_0110c_nom1401400_0201_min,sicc_AVID_ref_0110c_nom1401400_0201_avg,sicc_AVID_ref_0110c_nom1401400_0201_med,dicc_AVID1_ref_0118c_nom1041867_0301_max,dicc_AVID1_ref_0118c_nom1041867_0301_min,dicc_AVID1_ref_0118c_nom1041867_0301_avg,dicc_AVID1_ref_0118c_nom1041867_0301_med,dicc_AVID2_ref_0118c_nom1192133_0401_max,dicc_AVID2_ref_0118c_nom1192133_0401_min,dicc_AVID2_ref_0118c_nom1192133_0401_avg,dicc_AVID2_ref_0118c_nom1192133_0401_med,dicc_AVID3_ref_0118c_nom1332400_0501_max,dicc_AVID3_ref_0118c_nom1332400_0501_min,dicc_AVID3_ref_0118c_nom1332400_0501_avg,dicc_AVID3_ref_0118c_nom1332400_0501_med
34.048,33.96,33.9976,34,89.728,89.568,89.6492,89.648,97.4,97.2,97.31,97.304,104.96,104.736,104.8704,104.888
sicc_AVID_ref_0110c_nom1401400_0201_max,sicc_AVID_ref_0110c_nom1401400_0201_min,sicc_AVID_ref_0110c_nom1401400_0201_avg,sicc_AVID_ref_0110c_nom1401400_0201_med,dicc_AVID1_ref_0118c_nom1041867_0301_max,dicc_AVID1_ref_0118c_nom1041867_0301_min,dicc_AVID1_ref_0118c_nom1041867_0301_avg,dicc_AVID1_ref_0118c_nom1041867_0301_med,dicc_AVID2_ref_0118c_nom1192133_0401_max,dicc_AVID2_ref_0118c_nom1192133_0401_min,dicc_AVID2_ref_0118c_nom1192133_0401_avg,dicc_AVID2_ref_0118c_nom1192133_0401_med,dicc_AVID3_ref_0118c_nom1332400_0501_max,dicc_AVID3_ref_0118c_nom1332400_0501_min,dicc_AVID3_ref_0118c_nom1332400_0501_avg,dicc_AVID3_ref_0118c_nom1332400_0501_med
32.424,32.344,32.3684,32.368,87.048,86.92,86.9748,86.976,94.544,94.36,94.4676,94.464,101.936,101.664,101.8428,101.88
sicc_AVID_ref_0110c_nom1401400_0201_max,sicc_AVID_ref_0110c_nom1401400_0201_min,sicc_AVID_ref_0110c_nom1401400_0201_avg,sicc_AVID_ref_0110c_nom1401400_0201_med,dicc_AVID1_ref_0118c_nom1041867_0301_max,dicc_AVID1_ref_0118c_nom1041867_0301_min,dicc_AVID1_ref_0118c_nom1041867_0301_avg,dicc_AVID1_ref_0118c_nom1041867_0301_med,dicc_AVID2_ref_0118c_nom1192133_0401_max,dicc_AVID2_ref_0118c_nom1192133_0401_min,dicc_AVID2_ref_0118c_nom1192133_0401_avg,dicc_AVID2_ref_0118c_nom1192133_0401_med,dicc_AVID3_ref_0118c_nom1332400_0501_max,dicc_AVID3_ref_0118c_nom1332400_0501_min,dicc_AVID3_ref_0118c_nom1332400_0501_avg,dicc_AVID3_ref_0118c_nom1332400_0501_med
34.08,34.008,34.0336,34.024,88.768,88.592,88.6972,88.696,96.008,95.8,95.9404,95.944,103.416,103.176,103.3172,103.32
