VisualID,dicc_AVID1_ref_0118c_nom1041867_0301_max,dicc_AVID1_ref_0118c_nom1041867_0301_min,dicc_AVID1_ref_0118c_nom1041867_0301_avg,dicc_AVID1_ref_0118c_nom1041867_0301_med,dicc_AVID2_ref_0118c_nom1192133_0401_max,dicc_AVID2_ref_0118c_nom1192133_0401_min,dicc_AVID2_ref_0118c_nom1192133_0401_avg,dicc_AVID2_ref_0118c_nom1192133_0401_med,dicc_AVID3_ref_0118c_nom1332400_0501_max,dicc_AVID3_ref_0118c_nom1332400_0501_min,dicc_AVID3_ref_0118c_nom1332400_0501_avg,dicc_AVID3_ref_0118c_nom1332400_0501_med,SoftBin
35620373C0114,81.304000000000,81.112000000000,81.232000000000,81.224000000000,88.784000000000,88.616000000000,88.696000000000,88.696000000000,96.048000000000,95.848000000000,95.951200000000,95.952000000000,200
35620373C0115,81.888000000000,81.760000000000,81.808800000000,81.800000000000,89.408000000000,89.160000000000,89.287200000000,89.288000000000,96.888000000000,96.624000000000,96.778400000000,96.800000000000,200
35620373C0116,83.880000000000,83.704000000000,83.778000000000,83.784000000000,91.288000000000,91.064000000000,91.172400000000,91.176000000000,98.632000000000,98.384000000000,98.518000000000,98.536000000000,200
35620373C0062,81.888000000000,81.752000000000,81.837600000000,81.856000000000,89.272000000000,89.096000000000,89.195600000000,89.200000000000,96.632000000000,96.456000000000,96.580000000000,96.600000000000,318
35620373C0122,81.128000000000,80.992000000000,81.071600000000,81.088000000000,88.568000000000,88.336000000000,88.439200000000,88.456000000000,95.864000000000,95.656000000000,95.787600000000,95.792000000000,200
35620373C0091,84.480000000000,84.288000000000,84.389600000000,84.408000000000,91.848000000000,91.640000000000,91.751200000000,91.736000000000,99.088000000000,98.864000000000,98.991600000000,99.016000000000,200
35620373C0168,85.984000000000,85.824000000000,85.915200000000,85.928000000000,93.536000000000,93.360000000000,93.436800000000,93.448000000000,100.960000000000,100.688000000000,100.834800000000,100.864000000000,200
35620373C0029,86.688000000000,86.544000000000,86.597200000000,86.592000000000,94.240000000000,94.040000000000,94.131600000000,94.136000000000,101.600000000000,101.400000000000,101.504400000000,101.520000000000,200
35620373C0153,85.304000000000,85.152000000000,85.226800000000,85.232000000000,92.720000000000,92.544000000000,92.619200000000,92.616000000000,99.984000000000,99.736000000000,99.878800000000,99.904000000000,318
35620373C0146,91.216000000000,91.072000000000,91.134000000000,91.144000000000,98.832000000000,98.608000000000,98.715600000000,98.728000000000,106.336000000000,106.112000000000,106.230400000000,106.240000000000,200
35620373C0035,82.456000000000,82.312000000000,82.386800000000,82.392000000000,90.024000000000,89.816000000000,89.939200000000,89.936000000000,97.544000000000,97.344000000000,97.440400000000,97.440000000000,200
35620373C0156,84.848000000000,84.680000000000,84.770800000000,84.776000000000,92.304000000000,92.048000000000,92.155600000000,92.144000000000,99.512000000000,99.328000000000,99.427600000000,99.424000000000,200
35620373C0132,92.496000000000,92.224000000000,92.378000000000,92.392000000000,99.984000000000,99.680000000000,99.859200000000,99.872000000000,107.400000000000,107.128000000000,107.296800000000,107.328000000000,200
35620373C0041,84.760000000000,84.640000000000,84.707600000000,84.712000000000,92.328000000000,92.144000000000,92.246000000000,92.232000000000,99.912000000000,99.648000000000,99.788400000000,99.800000000000,200
35620373C0162,86.176000000000,85.992000000000,86.111600000000,86.128000000000,93.512000000000,93.280000000000,93.414400000000,93.432000000000,100.728000000000,100.472000000000,100.607200000000,100.632000000000,200
35620373C0094,83.336000000000,83.160000000000,83.243200000000,83.248000000000,90.856000000000,90.688000000000,90.759600000000,90.760000000000,98.312000000000,98.032000000000,98.192400000000,98.200000000000,200
2L622611C0071,85.648000000000,85.496000000000,85.571600000000,85.584000000000,93.136000000000,92.872000000000,93.035600000000,93.048000000000,100.536000000000,100.312000000000,100.458000000000,100.488000000000,9775
2L622611C0042,86.216000000000,86.040000000000,86.114000000000,86.096000000000,93.688000000000,93.448000000000,93.579200000000,93.584000000000,101.160000000000,100.912000000000,101.046800000000,101.056000000000,200
2L622611C0033,85.408000000000,85.280000000000,85.346000000000,85.336000000000,92.944000000000,92.768000000000,92.856800000000,92.856000000000,100.288000000000,100.048000000000,100.199200000000,100.224000000000,200
2L622611C0061,86.256000000000,86.072000000000,86.143600000000,86.136000000000,93.832000000000,93.584000000000,93.695200000000,93.680000000000,101.336000000000,101.072000000000,101.195200000000,101.208000000000,200
2L622611C0076,84.112000000000,83.960000000000,84.028800000000,84.024000000000,91.536000000000,91.360000000000,91.476800000000,91.488000000000,98.904000000000,98.696000000000,98.833600000000,98.864000000000,6084
2L622611C0091,87.616000000000,87.448000000000,87.530400000000,87.520000000000,94.936000000000,94.752000000000,94.866800000000,94.872000000000,102.352000000000,102.096000000000,102.238400000000,102.264000000000,200
2L622611C0018,86.976000000000,86.800000000000,86.899200000000,86.912000000000,94.464000000000,94.232000000000,94.350000000000,94.360000000000,101.824000000000,101.560000000000,101.712000000000,101.728000000000,200
2L622611C0072,91.400000000000,91.192000000000,91.287600000000,91.272000000000,98.992000000000,98.744000000000,98.884400000000,98.896000000000,106.600000000000,106.312000000000,106.430000000000,106.432000000000,200
2L622611C0016,82.392000000000,82.264000000000,82.349200000000,82.360000000000,89.752000000000,89.576000000000,89.678800000000,89.696000000000,97.024000000000,96.808000000000,96.920400000000,96.928000000000,200
2L622611C0060,84.096000000000,83.936000000000,84.006800000000,84.000000000000,91.632000000000,91.480000000000,91.560800000000,91.560000000000,98.976000000000,98.776000000000,98.878000000000,98.896000000000,200
2L622611C0025,84.640000000000,84.432000000000,84.507200000000,84.504000000000,92.016000000000,91.840000000000,91.939600000000,91.952000000000,99.416000000000,99.184000000000,99.306400000000,99.296000000000,200
2L622611C0049,84.888000000000,84.704000000000,84.799200000000,84.816000000000,92.424000000000,92.224000000000,92.326000000000,92.336000000000,99.856000000000,99.600000000000,99.747200000000,99.760000000000,6093
2L622611C0004,93.248000000000,93.080000000000,93.167200000000,93.168000000000,100.784000000000,100.560000000000,100.689600000000,100.696000000000,108.224000000000,107.936000000000,108.080800000000,108.096000000000,6084
2L622611C0041,89.920000000000,89.760000000000,89.855600000000,89.856000000000,97.536000000000,97.360000000000,97.457600000000,97.456000000000,105.048000000000,104.824000000000,104.956400000000,104.960000000000,200
