TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM,,,,
4227.359,7721,204,8PUAAVL,3,20.72234804,PSCDTJML0MCA55CH,,,,
5327.1294,7721,263,8PUABVL,3,20.25524487,PSCDTJML0MCA55CH,,,,
12881.1421,7721,630,8PUABVL,3,20.4462573,PSCDTJML0MCA55CH,,,,
18324.2891,7721,902,8PUABVL,3,20.31517639,PSCDTJML0MCA55CH,,,,
10494.0572,7721,514,8PUADVL,3,20.4164537,PSCDTJML0MCA55CH,,,,
12186.1514,7721,600,8PUADVL,3,20.31025233,PSCDTJML0MCA55CH,,,,
296.9211,7721,15,8PUAEVL,3,19.79474,PSCDTJML0MCA55CH,,,,21.07405991
352.7757,7721,17,8PUAEVL,3,20.75151176,PSCDTJML0MCA55CH,,,,
14578.9066,7721,707,8PUAAVL,4,20.62080141,PSCDTJML0MCA55CH,,,,
2213.8345,7721,103,8PUABVL,4,21.49353883,PSCDTJML0MCA55CH,,,,
3773.1616,7721,178,8PUABVL,4,21.19753708,PSCDTJML0MCA55CH,,,,
4766.4887,7721,219,8PUABVL,4,21.76478858,PSCDTJML0MCA55CH,,,,
12928.9042,7721,618,8PUADVL,4,20.92055696,PSCDTJML0MCA55CH,,,,
10054.9711,7721,479,8PUADVL,4,20.99158894,PSCDTJML0MCA55CH,,,,
7601.8797,7721,365,8PUAEVL,4,20.82706767,PSCDTJML0MCA55CH,,,,
8657.6864,7721,413,8PUAEVL,4,20.96292107,PSCDTJML0MCA55CH
3899.4142,7721,188,8PUAAVL,5,20.74156489,PSCDTJML0MCA55CH
19.5897,7721,1,8PUABVL,5,19.5897,PSCDTJML0MCA55CH
120.5951,7721,6,8PUABVL,5,20.09918333,PSCDTJML0MCA55CH
823.4666,7721,38,8PUADVL,5,21.67017368,PSCDTJML0MCA55CH
1412.5151,7721,64,8PUADVL,5,22.07054844,PSCDTJML0MCA55CH
13569.0631,7721,615,8PUAEVL,5,22.06351724,PSCDTJML0MCA55CH
12350.2723,7721,574,8PUAEVL,5,21.51615383,PSCDTJML0MCA55CH
333.9074,7721,15,8PUAAVL,6,22.26049333,PSCDTJML0MCA55CH
19.9206,7721,1,8PUABVL,6,19.9206,PSCDTJML0MCA55CH
59.9052,7721,3,8PUABVL,6,19.9684,PSCDTJML0MCA55CH
20.0659,7721,1,8PUADVL,6,20.0659,PSCDTJML0MCA55CH
99.2628,7721,4,8PUADVL,6,24.8157,PSCDTJML0MCA55CH
4839.953,7721,214,8PUAEVL,6,22.6166028,PSCDTJML0MCA55CH
4928.9496,7721,214,8PUAEVL,6,23.03247477,PSCDTJML0MCA55CH
