LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M532B164,7721,8PUADVL,PSCDTJML0MCA55B3,1207,1186,,,2026,1289,90,
M532B165,7721,8PUADVL,PSCDTJML0MCA55B3,1175,1160,,,1795,1547,134,10
M532B166,7721,8PUADVL,PSCDTJML0MCA55B3,1163,1140,,,1840,1349,96,
M532B320,7721,8PUADVL,PSCDTJML0MCA55B3,1166,1147,,,1929,1365,63,5
M532B321,7721,8PUADVL,PSCDTJML0MCA55B3,1212,1193,,,1718,1738,159,5
M532B322,7721,8PUADVL,PSCDTJML0MCA55B3,1055,1033,,,1754,1173,91,5
M532B323,7721,8PUADVL,PSCDTJML0MCA55B3,1214,1193,,,2110,1106,78,5
M532B481,7721,8PUADVL,PSCDTJML0MCA55B3,1194,1179,,,1408,2098,238,
M532B482,7721,8PUADVL,PSCDTJML0MCA55B3,1178,1158,,,1399,2082,144,10
M532B483,7721,8PUADVL,PSCDTJML0MCA55B3,1168,1158,,,1655,1841,63,
M532B484,7721,8PUADVL,PSCDTJML0MCA55B3,1181,1159,,,3430,3343,196,5
M532B564,7721,8PUADVL,PSCDTJML0MCA55B3,1177,1163,,,1731,1565,231,
M532B565,7721,8PUADVL,PSCDTJML0MCA55B3,1017,1002,,,1377,1454,331,10
M532B566,7721,8PUADVL,PSCDTJML0MCA55B3,1139,1108,,,1342,1908,232,26
M532B567,7721,8PUADVL,PSCDTJML0MCA55B3,1192,1161,,,1379,1942,463,10
M532B616,7721,8PUADVL,PSCDTJML0MCA55B3,1218,1187,,,1825,1514,263,27
M532B617,7721,8PUADVL,PSCDTJML0MCA55B3,1202,1173,,,1329,2034,459,35
M532B618,7721,8PUADVL,PSCDTJML0MCA55B3,1174,1162,,,1502,1824,454,15
M532B619,7721,8PUADVL,PSCDTJML0MCA55B3,1230,1218,,,1849,1570,277,5
M532C325,7721,8PUABVL,PSCDTJML0MCA55B3,1121,1074,,,1541,1657,30,5
M532C326,7721,8PUABVL,PSCDTJML0MCA55B3,1156,1118,,,1924,1325,23,5
M532C787,7721,8PUABVL,PSCDTJML0MCA55B3,690,678,,,1246,662,32,5
M532C788,7721,8PUABVL,PSCDTJML0MCA55B3,1205,1178,,,2208,1056,10,10
M533A081,7721,8PUADVL,PSCDTJML0MCA55B3,1227,1194,,,1748,1757,106,
M533A082,7721,8PUADVL,PSCDTJML0MCA55B3,1169,1133,,,1572,1737,188,
M533A083,7721,8PUADVL,PSCDTJML0MCA55B3,1178,1165,,,1795,1619,116,
M533A084,7721,8PUADVL,PSCDTJML0MCA55B3,1131,1112,,,1486,1835,151,5
M533A098,7721,8PUADVL,PSCDTJML0MCA55B3,1151,1134,,,1442,1734,467,72
M533A099,7721,8PUADVL,PSCDTJML0MCA55B3,1165,1146,,,1430,1825,422,43
M533A100,7721,8PUADVL,PSCDTJML0MCA55B3,1193,1165,,,1740,1521,378,57
M533A101,7721,8PUADVL,PSCDTJML0MCA55B3,1183,1161,,,1570,1678,429,42
M533A105,7721,8PUADVL,PSCDTJML0MCA55B3,1108,1092,,,2032,1035,36,
M533A106,7721,8PUADVL,PSCDTJML0MCA55B3,1185,1165,,,1907,1401,84,
M533A221,7721,8PUABVL,PSCDTJML0MCA55B3,710,698,,,1452,342,19,10
M533A222,7721,8PUABVL,PSCDTJML0MCA55B3,1252,1228,,,2434,886,72,5
M533A223,7721,8PUAAVL,PSCDTJML0MCA55B3,1085,1068,,,832,1632,449,74
M533A344,7721,8PUADVL,PSCDTJML0MCA55B3,845,820,,,1324,1110,78,
M533A345,7721,8PUADVL,PSCDTJML0MCA55B3,1181,1154,,,1774,1593,124,5
M533A346,7721,8PUADVL,PSCDTJML0MCA55B3,1151,1131,,,1149,2245,323,15
M533A347,7721,8PUADVL,PSCDTJML0MCA55B3,1219,1198,,,1769,1772,149,5
M533A529,7721,8PUADVL,PSCDTJML0MCA55B3,1178,1159,,,2012,1237,58,5
M533A530,7721,8PUADVL,PSCDTJML0MCA55B3,1067,1058,,,1671,1407,102,10
M533A531,7721,8PUADVL,PSCDTJML0MCA55B3,1231,1211,,,2091,1355,55,
M533A532,7721,8PUADVL,PSCDTJML0MCA55B3,1233,1212,,,1994,1466,94,27
M533A784,7721,8PUADVL,PSCDTJML0MCA55B3,853,845,,,1515,970,32,
M533A785,7721,8PUADVL,PSCDTJML0MCA55B3,1128,1112,,,2748,3722,571,5
M533A791,7721,8PUADVL,PSCDTJML0MCA55B3,1078,1057,,,3206,2747,81,
M533A794,7721,8PUADVL,PSCDTJML0MCA55B3,1245,1224,,,1837,1746,97,5
M533A798,7721,8PUADVL,PSCDTJML0MCA55B3,1030,1004,,,1654,1064,221,12
M533A799,7721,8PUADVL,PSCDTJML0MCA55B3,1198,1178,,,1852,1418,239,17
M533A932,7721,8PUADVL,PSCDTJML0MCA55B3,1047,1024,,,1056,2080,222,5
M533A933,7721,8PUADVL,PSCDTJML0MCA55B3,1251,1229,,,1514,2180,249,22
M533A940,7721,8PUADVL,PSCDTJML0MCA55B3,997,960,,,1227,1583,210,35
M533A941,7721,8PUADVL,PSCDTJML0MCA55B3,1190,1171,,,1511,1963,259,27
M533A997,7721,8PUADVL,PSCDTJML0MCA55B3,1203,1173,,,2186,1054,50,
M533A998,7721,8PUADVL,PSCDTJML0MCA55B3,1233,1214,,,2093,1241,93,5
M533B552,7721,8PUADVL,PSCDTJML0MCA55B3,581,561,,,1044,446,16,
M533B553,7721,8PUADVL,PSCDTJML0MCA55B3,971,958,,,1716,940,28,16
M533B554,7721,8PUADVL,PSCDTJML0MCA55B3,1200,1187,,,2175,1169,32,
M533B555,7721,8PUADVL,PSCDTJML0MCA55B3,1161,1098,,,1867,1310,75,17
M533B770,7721,8PUADVL,PSCDTJML0MCA55B3,649,637,,,1173,610,50,
M533B771,7721,8PUADVL,PSCDTJML0MCA55B3,1253,1229,,,4354,2606,142,
M533B772,7721,8PUADVL,PSCDTJML0MCA55B3,662,646,,,1064,793,71,5
M533B773,7721,8PUADVL,PSCDTJML0MCA55B3,1246,1224,,,1727,1903,184,10
M533B872,7721,8PUADVL,PSCDTJML0MCA55B3,1119,1094,,,1860,1191,145,10
M533B873,7721,8PUADVL,PSCDTJML0MCA55B3,1212,1189,,,2297,1068,12,
M533B963,7721,8PUADVL,PSCDTJML0MCA55B3,1177,1156,,,1809,1592,67,
M533B964,7721,8PUADVL,PSCDTJML0MCA55B3,1212,1199,,,1788,1706,97,15
M533B986,7721,8PUADVL,PSCDTJML0MCA55B3,1081,1050,,,1415,1706,137,10
M533B987,7721,8PUADVL,PSCDTJML0MCA55B3,1251,1234,,,2043,1470,95,5
M533C147,7721,8PUADVL,PSCDTJML0MCA55B3,781,763,,,1469,690,4,
M533C312,7721,8PUAEVL,PSCDTJML0MCA55B3,1139,1121,,,17,1567,2609,766
M533C313,7721,8PUAEVL,PSCDTJML0MCA55B3,1117,1076,,,42,1552,2285,833
M533C314,7721,8PUAEVL,PSCDTJML0MCA55B3,1189,1158,,,12,1858,2403,755
M533C315,7721,8PUAEVL,PSCDTJML0MCA55B3,1171,1144,,,24,1808,2274,875
M533C484,7721,8PUAEVL,PSCDTJML0MCA55B3,1087,1077,,,4,387,3036,1905
M534A283,7721,8PUAEVL,PSCDTJML0MCA55B3,1197,1165,,,4,875,3109,1538
