LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M522D605,7721,8PUAEVL,PSCDTJML0MCA55B3,1533,1521,,,,118,6480,585
M522D606,7721,8PUAEVL,PSCDTJML0MCA55B3,1437,1437,,,,269,6128,392
M522D607,7721,8PUAEVL,PSCDTJML0MCA55B3,1975,1955,,,,,479,10784
M522D608,7721,8PUAEVL,PSCDTJML0MCA55B3,2041,2040,,,,278,8849,445
M522D610,7721,8PUAEVL,PSCDTJML0MCA55B3,2081,2059,,,40,6215,1587,5
M522D611,7721,8PUAEVL,PSCDTJML0MCA55B3,1959,1953,,,32,6070,1352,5
M522D612,7721,8PUAEVL,PSCDTJML0MCA55B3,2138,2138,,,42,6495,1735,
M522D613,7721,8PUAEVL,PSCDTJML0MCA55B3,1799,1797,,,48,5686,1077,5
M522D614,7721,8PUAEVL,PSCDTJML0MCA55B3,2076,2076,,,25,6224,1724,
M522D615,7721,8PUAEVL,PSCDTJML0MCA55B3,1564,1558,,,,,500,8404
M523A47K,7721,8PTABVL,PSCDTJML0MCA5BD,228,224,6,319,,37,,
M523A48K,7721,8PUAAVL,PSCDTJML0MCA5BD,181,179,,,106,268,102,2
M523A52K,7721,8PTABVL,PSCDTJML0MCA55B3,268,268,5,331,2,87,4,
M523A52K,7721,8PTABVL,PSCDTJML0MCA55BF,268,268,28,319,,61,4,
M523A676,7721,8PUAEVL,PSCDTJML0MCA5BC,1195,1163,,,,618,2994,2017
M523A676,7721,8PUAEVL,PSCDTJML0MCA5BD,1195,1163,,,26,1012,2742,1402
M523A677,7721,8PUADVL,PSCDTJML0MCA5BC,1205,1163,,,1625,1608,355,25
M523A677,7721,8PUADVL,PSCDTJML0MCA5BD,1205,1163,,,2063,990,248,10
M523A679,7721,8PUABVL,PSCDTJML0MCA5BC,1258,1216,,,2134,1347,28,
M523A679,7721,8PUABVL,PSCDTJML0MCA5BD,1258,1216,,,2544,597,11,
M523A680,7721,8PUAAVL,PSCDTJML0MCA5BC,1183,1144,,1,228,2086,887,232
M523A680,7721,8PUAAVL,PSCDTJML0MCA5BD,1183,1144,,,553,1472,871,190
M523A682,7721,8PUAEVL,PSCDTJML0MCA5BD,1153,1137,,,164,2137,1661,525
M523A683,7721,8PUAEVL,PSCDTJML0MCA5BD,994,980,,,54,1194,2148,845
M523A684,7721,8PUAEVL,PSCDTJML0MCA5BD,1116,1102,,,125,1762,1897,639
M523A71K,7721,8PUADVL,PSCDTJML0MCA55B3,1767,1761,,,2456,2594,373,37
M523A72K,7721,8PUADVL,PSCDTJML0MCA55B3,1921,1898,,,2376,3096,458,
M523A73K,7721,8PUAEVL,PSCDTJML0MCA55B3,1486,1477,,,79,1229,3206,3911
M523D355,7721,8PUAAVL,PSCDTJML0MCA55B1,907,904,,,470,1628,463,63
M523D356,7721,8PTABVL,PSCDTJML0MCA55B1,1426,1423,7,2014,80,347,,
M523D363,7721,8PUAEVL,PSCDTJML0MCA55B3,2276,2276,,,,189,9680,933
M523D364,7721,8PUAEVL,PSCDTJML0MCA55B3,1957,1939,,,,257,8278,577
M524A24K,7721,8PUAEVL,PSCDTJML0MCA5BD,264,250,,,11,399,540,72
M524A25K,7721,8PUADVL,PSCDTJML0MCA5BD,556,553,,,771,840,66,
M524A65K,7721,8PUADVL,PSCDTJML0MCA55B3,579,576,,,709,999,126,
M524A66K,7721,8PUADVL,PSCDTJML0MCA55B3,738,738,,,1117,1054,68,10
M524A67K,7721,8PUADVL,PSCDTJML0MCA55B3,835,834,,,946,1548,219,15
M524B688,7721,8PUAAVL,PSCDTJML0MCA5BD,115,110,,2,23,177,68,20
M524B689,7721,8PTABVL,PSCDTJML0MCA5BD,621,607,64,751,4,98,,
M524B690,7721,8PUADVL,PSCDTJML0MCA5BD,1058,1019,,,1849,958,39,
M524B691,7721,8PUADVL,PSCDTJML0MCA5BD,999,978,,,1754,884,52,10
M524B692,7721,8PUAEVL,PSCDTJML0MCA5BD,1176,1118,,,195,2195,1526,482
M524B693,7721,8PUADVL,PSCDTJML0MCA5BD,973,939,,,1659,929,48,
M524C850,7721,8PUAAVL,PSCDTJML0MCA5BD,917,880,,,637,1356,376,29
M524C851,7721,8PTABVL,PSCDTJML0MCA5BD,977,939,65,1198,10,127,4,
M524C852,7721,8PTABVL,PSCDTJML0MCA5BD,552,537,19,748,28,95,,
M524C883,7721,8PUAEVL,PSCDTJML0MCA5BD,178,169,,,32,403,189,37
M524C884,7721,8PUAEVL,PSCDTJML0MCA5BD,1092,1054,,,44,1973,1835,397
M524C885,7721,8PUADVL,PSCDTJML0MCA5BD,1011,974,,,1337,1483,137,5
M524C894,7721,8PUADVL,PSCDTJML0MCA5BD,1078,1046,,,1664,1263,83,
M524C895,7721,8PUAEVL,PSCDTJML0MCA5BD,1129,1094,,,33,1839,2141,380
M524C896,7721,8PUADVL,PSCDTJML0MCA5BD,702,679,,,1000,871,97,
M524D149,7721,8PUADVL,PSCDTJML0MCA55B1,1042,1037,,,95,3303,459,5
M524D150,7721,8PUAEVL,PSCDTJML0MCA55B1,1079,1072,,,6,1496,2775,422
M524D884,7721,8PUAEVL,PSCDTJML0MCA55B3,529,528,,,6,1595,451,
M524D884,7721,8PUAEVL,PSCDTJML0MCA55BG,529,528,,,10,1829,132,5
M524E071,7721,8PUADVL,PSCDTJML0MCA55B3,447,436,,,922,235,8,
M524E071,7721,8PUADVL,PSCDTJML0MCA55BG,447,436,,,1565,163,4,
M524F071A,7721,8PUADVL,PSCDTJML0MCA55B0,111,106,,,440,128,,
M524F071B,7721,8PUADVL,PSCDTJML0MCA55B0,110,110,,,450,145,,
M526A48K,7721,8PUADVL,PSCDTJML0MCA55B3,780,772,,,1129,1128,74,5
M528C757,7721,8PUAEVL,PSCDTJML0MCA55B3,1566,1559,,,54,4865,1020,
M529B718,7721,8PUABVL,PSCDTJML0MCA55CH,387,367,,,654,386,,5
M529B720,7721,8PUADVL,PSCDTJML0MCA55B3,1189,1168,,,1411,2083,153,5
M529B720,7721,8PUADVL,PSCDTJML0MCA55CH,1189,1168,,,1337,2234,171,5
M529B720,7721,8PUADVL,PSCDTJML0MCA61D0,1189,1168,,,1169,1698,104,5
M529B721,7721,8PUADVL,PSCDTJML0MCA55CH,1166,1147,,,1514,1732,298,26
M529B878,7721,8PUAEVL,PSCDTJML0MCA55B3,1258,1205,,,82,2668,5769,2589
M529B878,7721,8PUAEVL,PSCDTJML0MCA55CH,1258,1205,,,36,1314,2898,1230
M529B879,7721,8PUAEVL,PSCDTJML0MCA55CH,1260,1218,,,46,1528,2661,1274
M529B880,7721,8PUAAVL,PSCDTJML0MCA55B3,1152,1119,,,428,2355,606,49
M529B880,7721,8PUAAVL,PSCDTJML0MCA55CH,1152,1119,,,537,2265,583,50
M529B880,7721,8PUAAVL,PSCDTJML0MCA61D0,1152,1119,,,985,1447,203,5
M530A131,7721,8PUABVL,PSCDTJML0MCA55CH,840,809,,,1556,636,4,
M530A262,7721,8PUABVL,PSCDTJML0MCA55B3,1260,1210,,,2298,1016,38,10
M530A262,7721,8PUABVL,PSCDTJML0MCA55CH,1260,1210,,,2202,837,24,15
M530A262,7721,8PUABVL,PSCDTJML0MCA61D0,1260,1210,,,2011,419,16,
M530B299,7721,8PUAEVL,PSCDTJML0MCA55B0,1138,1123,,,127,1920,2089,619
M530B300,7721,8PUAEVL,PSCDTJML0MCA55B3,1117,1089,,,56,1496,2528,638
M530B468,7721,8PUAEVL,PSCDTJML0MCA55B0,1197,1178,,,121,1994,2300,552
M530B469,7721,8PUAEVL,PSCDTJML0MCA55B0,1178,1151,,,56,1913,2361,624
M530B580,7721,8PUAEVL,PSCDTJML0MCA55B0,1199,1170,,,126,1870,2343,647
M530B581,7721,8PUAEVL,PSCDTJML0MCA55B0,1164,1145,,,94,1984,2145,687
M530B586,7721,8PUAEVL,PSCDTJML0MCA55B0,1170,1155,,,52,1318,2896,926
M530B587,7721,8PUAEVL,PSCDTJML0MCA55B0,1201,1178,,,50,1320,2866,1120
M530B599,7721,8PUAEVL,PSCDTJML0MCA55B0,1207,1179,,,28,1373,2669,1329
M530B600,7721,8PUAEVL,PSCDTJML0MCA55B0,1223,1207,,,43,1581,2721,1065
M530B777,7721,8PUAEVL,PSCDTJML0MCA55B0,1098,1071,,,203,2217,1435,488
M530B778,7721,8PUAEVL,PSCDTJML0MCA55B0,1222,1185,,,265,2440,1633,440
M530B916,7721,8PUAEVL,PSCDTJML0MCA55B0,1212,1187,,,88,1858,2581,549
M530B917,7721,8PUAEVL,PSCDTJML0MCA55B0,2157,2155,,,110,1692,2266,346
M530B917,7721,8PUAEVL,PSCDTJML0MCA55B3,2157,2155,,,281,5009,6914,1534
M530C013,7721,8PUAEVL,PSCDTJML0MCA55B0,1117,1101,,,36,1608,2426,782
M530C014,7721,8PUAEVL,PSCDTJML0MCA55B0,1212,1189,,,27,1389,2970,978
M530C015,7721,8PUAEVL,PSCDTJML0MCA55B0,1134,1110,,,79,1642,2464,642
M530C016,7721,8PUAEVL,PSCDTJML0MCA55B0,1062,1058,,,70,1299,2471,874
M530C016,7721,8PUAEVL,PSCDTJML0MCA55B3,1062,1058,,,38,1204,2658,878
M530C023,7721,8PUAEVL,PSCDTJML0MCA55B0,1129,1104,,,73,1795,2241,730
